dataset,cantidad_locales,limite_contagio,metodo,tiempo
mejor-caso-BT-O,17,70,BT,0.002134
mejor-caso-BT-O,17,70,BT-F,0.068678
mejor-caso-BT-O,17,70,BT-O,0.002274
mejor-caso-BT-O,18,70,BT,0.007644
mejor-caso-BT-O,18,70,BT-F,0.107741
mejor-caso-BT-O,18,70,BT-O,0.004068
mejor-caso-BT-O,19,70,BT,0.002184
mejor-caso-BT-O,19,70,BT-F,0.183764
mejor-caso-BT-O,19,70,BT-O,0.002184
mejor-caso-BT-O,20,70,BT,0.004188
mejor-caso-BT-O,20,70,BT-F,0.291235
mejor-caso-BT-O,20,70,BT-O,0.004288
mejor-caso-BT-O,21,70,BT,0.002144
mejor-caso-BT-O,21,70,BT-F,0.53409
mejor-caso-BT-O,21,70,BT-O,0.002254
mejor-caso-BT-O,22,70,BT,0.004428
mejor-caso-BT-O,22,70,BT-F,1.32198
mejor-caso-BT-O,22,70,BT-O,0.004689
mejor-caso-BT-O,23,70,BT,0.002384
mejor-caso-BT-O,23,70,BT-F,1.15862
mejor-caso-BT-O,23,70,BT-O,0.002305
mejor-caso-BT-O,24,70,BT,0.005219
mejor-caso-BT-O,24,70,BT-F,1.90338
mejor-caso-BT-O,24,70,BT-O,0.01036
mejor-caso-BT-O,25,70,BT,0.002254
mejor-caso-BT-O,25,70,BT-F,3.23913
mejor-caso-BT-O,25,70,BT-O,0.002194
mejor-caso-BT-O,26,70,BT,0.00509
mejor-caso-BT-O,26,70,BT-F,5.08949
mejor-caso-BT-O,26,70,BT-O,0.005249
mejor-caso-BT-O,27,70,BT,0.002244
mejor-caso-BT-O,27,70,BT-F,8.12368
mejor-caso-BT-O,27,70,BT-O,0.002395
mejor-caso-BT-O,28,70,BT,0.011382
mejor-caso-BT-O,28,70,BT-F,13.6958
mejor-caso-BT-O,28,70,BT-O,0.004809
mejor-caso-BT-O,29,70,BT,0.002294
mejor-caso-BT-O,29,70,BT-F,19.5521
mejor-caso-BT-O,29,70,BT-O,0.002364
mejor-caso-BT-O,30,70,BT,0.005971
mejor-caso-BT-O,30,70,BT-F,30.7602
mejor-caso-BT-O,30,70,BT-O,0.006282
mejor-caso-BT-O,31,70,BT,0.002275
mejor-caso-BT-O,31,70,BT-F,47.4743
mejor-caso-BT-O,31,70,BT-O,0.002324
mejor-caso-BT-O,32,70,BT,0.013004
mejor-caso-BT-O,32,70,BT-F,74.7323
mejor-caso-BT-O,32,70,BT-O,0.008275
mejor-caso-BT-O,33,70,BT,0.003056
mejor-caso-BT-O,33,70,BT-F,166.857
mejor-caso-BT-O,33,70,BT-O,0.003206
mejor-caso-BT-O,34,70,BT,0.007094
mejor-caso-BT-O,34,70,BT-F,202.837
mejor-caso-BT-O,34,70,BT-O,0.015209
mejor-caso-BT-O,35,70,BT,0.002334
mejor-caso-BT-O,35,70,BT-F,327.74
mejor-caso-BT-O,35,70,BT-O,0.002444
mejor-caso-BT-O,36,70,BT,0.014948
mejor-caso-BT-O,36,70,BT-F,529.498
mejor-caso-BT-O,36,70,BT-O,0.007735
mejor-caso-BT-O,37,70,BT,0.002675
mejor-caso-BT-O,37,70,BT-F,838.688
mejor-caso-BT-O,37,70,BT-O,0.002505
mejor-caso-BT-O,38,70,BT,0.009678
mejor-caso-BT-O,38,70,BT-F,1392.41
mejor-caso-BT-O,38,70,BT-O,0.008706
mejor-caso-BT-O,39,70,BT,0.002495
mejor-caso-BT-O,39,70,BT-F,2214.17
mejor-caso-BT-O,39,70,BT-O,0.003236
mejor-caso-BT-O,40,70,BT,0.008165
mejor-caso-BT-O,40,70,BT-F,3541.43
mejor-caso-BT-O,40,70,BT-O,0.017994
mejor-caso-BT-O,41,70,BT,0.002494
mejor-caso-BT-O,41,70,BT-F,5769.94
mejor-caso-BT-O,41,70,BT-O,0.002675
mejor-caso-BT-O,42,70,BT,0.018705
mejor-caso-BT-O,42,70,BT-F,9499.52
mejor-caso-BT-O,42,70,BT-O,0.018786
mejor-caso-BT-O,43,70,BT,0.002545
mejor-caso-BT-O,43,70,BT-F,15026.8
mejor-caso-BT-O,43,70,BT-O,0.002796
mejor-caso-BT-O,44,70,BT,0.01019
mejor-caso-BT-O,44,70,BT-F,24498.5
mejor-caso-BT-O,44,70,BT-O,0.009628
mejor-caso-BT-O,45,70,BT,0.002434
mejor-caso-BT-O,45,70,BT-F,39401.3
mejor-caso-BT-O,45,70,BT-O,0.002634
mejor-caso-BT-O,46,70,BT,0.011071
mejor-caso-BT-O,46,70,BT-F,85609.5
mejor-caso-BT-O,46,70,BT-O,0.013535
mejor-caso-BT-O,47,70,BT,0.003427
mejor-caso-BT-O,47,70,BT-F,125530.0
mejor-caso-BT-O,47,70,BT-O,0.003296
mejor-caso-BT-O,48,70,BT,0.014147
mejor-caso-BT-O,48,70,BT-F,222267.0
mejor-caso-BT-O,48,70,BT-O,0.011291
mejor-caso-BT-O,49,70,BT,0.002485
mejor-caso-BT-O,49,70,BT-F,360711.0
mejor-caso-BT-O,49,70,BT-O,0.003257
peor-caso-BT,0,0,BT,0.002425
peor-caso-BT,0,0,BT-F,0.003076
peor-caso-BT,0,0,BT-O,0.002264
peor-caso-BT,1,1,BT,0.002385
peor-caso-BT,1,1,BT-F,0.002475
peor-caso-BT,1,1,BT-O,0.002885
peor-caso-BT,2,1,BT,0.001943
peor-caso-BT,2,1,BT-F,0.002334
