dataset,cantidad_locales,limite_contagio,metodo,tiempo
alto_contagio,18,5832,BT-F,0.01096
alto_contagio,18,5832,BT-O,0.116156
alto_contagio,18,5832,BT,0.015388
alto_contagio,18,5832,BT-F,0.007765
alto_contagio,18,5832,BT-O,0.108453
alto_contagio,18,5832,BT,0.015008
alto_contagio,18,5832,BT-F,0.011652
alto_contagio,18,5832,BT-O,0.108322
alto_contagio,18,5832,BT,0.015348
alto_contagio,18,5832,BT-F,0.01072
alto_contagio,18,5832,BT-O,0.105036
alto_contagio,18,5832,BT,0.015348
alto_contagio,18,5832,BT-F,0.011241
alto_contagio,18,5832,BT-O,0.116357
alto_contagio,19,6859,BT,0.022853
alto_contagio,19,6859,BT-F,0.013205
alto_contagio,19,6859,BT-O,0.196276
alto_contagio,19,6859,BT,0.023003
alto_contagio,19,6859,BT-F,0.013736
alto_contagio,19,6859,BT-O,0.196577
alto_contagio,19,6859,BT,0.020428
alto_contagio,19,6859,BT-F,0.012404
alto_contagio,19,6859,BT-O,0.175638
alto_contagio,19,6859,BT,0.020608
alto_contagio,19,6859,BT-F,0.012604
alto_contagio,19,6859,BT-O,0.195815
alto_contagio,19,6859,BT,0.022562
alto_contagio,19,6859,BT-F,0.012664
alto_contagio,19,6859,BT-O,0.196397
alto_contagio,19,6859,BT,0.02137
alto_contagio,19,6859,BT-F,0.012954
alto_contagio,19,6859,BT-O,0.174536
alto_contagio,19,6859,BT,0.0211
alto_contagio,19,6859,BT-F,0.013676
alto_contagio,19,6859,BT-O,0.197678
alto_contagio,19,6859,BT,0.023023
alto_contagio,19,6859,BT-F,0.012403
alto_contagio,19,6859,BT-O,0.174907
alto_contagio,19,6859,BT,0.020549
alto_contagio,19,6859,BT-F,0.012444
alto_contagio,19,6859,BT-O,0.182991
alto_contagio,19,6859,BT,0.023243
alto_contagio,19,6859,BT-F,0.013946
alto_contagio,19,6859,BT-O,0.182951
alto_contagio,20,8000,BT,0.016721
alto_contagio,20,8000,BT-F,0.013986
alto_contagio,20,8000,BT-O,0.228016
alto_contagio,20,8000,BT,0.016461
alto_contagio,20,8000,BT-F,0.012363
alto_contagio,20,8000,BT-O,0.249997
alto_contagio,20,8000,BT,0.016431
alto_contagio,20,8000,BT-F,0.012423
alto_contagio,20,8000,BT-O,0.254805
alto_contagio,20,8000,BT,0.01619
alto_contagio,20,8000,BT-F,0.013916
alto_contagio,20,8000,BT-O,0.144699
alto_contagio,20,8000,BT,0.016521
alto_contagio,20,8000,BT-F,0.012403
alto_contagio,20,8000,BT-O,0.227575
alto_contagio,20,8000,BT,0.015258
alto_contagio,20,8000,BT-F,0.013565
alto_contagio,20,8000,BT-O,0.256008
alto_contagio,20,8000,BT,0.016431
alto_contagio,20,8000,BT-F,0.012623
alto_contagio,20,8000,BT-O,0.228847
alto_contagio,20,8000,BT,0.01616
alto_contagio,20,8000,BT-F,0.007615
alto_contagio,20,8000,BT-O,0.256779
alto_contagio,20,8000,BT,0.01632
alto_contagio,20,8000,BT-F,0.013645
alto_contagio,20,8000,BT-O,0.255757
alto_contagio,20,8000,BT,0.0162
alto_contagio,20,8000,BT-F,0.012693
alto_contagio,20,8000,BT-O,0.239577
alto_contagio,21,9261,BT,0.02683
alto_contagio,21,9261,BT-F,0.018435
alto_contagio,21,9261,BT-O,0.418531
alto_contagio,21,9261,BT,0.023684
alto_contagio,21,9261,BT-F,0.009899
alto_contagio,21,9261,BT-O,0.417318
alto_contagio,21,9261,BT,0.026279
alto_contagio,21,9261,BT-F,0.009418
alto_contagio,21,9261,BT-O,0.420775
alto_contagio,21,9261,BT,0.023523
alto_contagio,21,9261,BT-F,0.018574
alto_contagio,21,9261,BT-O,0.4179
alto_contagio,21,9261,BT,0.023944
alto_contagio,21,9261,BT-F,0.009318
alto_contagio,21,9261,BT-O,0.232363
alto_contagio,21,9261,BT,0.013244
alto_contagio,21,9261,BT-F,0.009218
alto_contagio,21,9261,BT-O,0.237463
alto_contagio,21,9261,BT,0.013265
alto_contagio,21,9261,BT-F,0.009157
alto_contagio,21,9261,BT-O,0.231672
alto_contagio,21,9261,BT,0.013305
alto_contagio,21,9261,BT-F,0.012874
alto_contagio,21,9261,BT-O,0.232243
alto_contagio,21,9261,BT,0.013305
alto_contagio,21,9261,BT-F,0.01649
alto_contagio,21,9261,BT-O,0.421486
alto_contagio,21,9261,BT,0.013375
alto_contagio,21,9261,BT-F,0.009538
alto_contagio,21,9261,BT-O,0.236772
alto_contagio,22,10648,BT,0.043511
alto_contagio,22,10648,BT-F,0.029896
alto_contagio,22,10648,BT-O,0.666634
alto_contagio,22,10648,BT,0.038011
alto_contagio,22,10648,BT-F,0.028032
alto_contagio,22,10648,BT-O,0.357797
alto_contagio,22,10648,BT,0.03743
alto_contagio,22,10648,BT-F,0.02648
alto_contagio,22,10648,BT-O,0.713912
alto_contagio,22,10648,BT,0.038121
alto_contagio,22,10648,BT-F,0.029405
